left, middle, right, top
29.8125, 35.125, 36.4375, 33.0625
29.75, 35.0625, 36.4375, 33.125
29.75, 35.125, 36.4375, 33.125
29.75, 35.125, 36.4375, 33.125
29.75, 35.125, 36.4375, 33.125
29.75, 35.125, 36.375, 33.125
29.8125, 35.0625, 36.4375, 33.125
29.8125, 35.125, 36.4375, 33.125
29.8125, 35.125, 36.375, 33.125
29.8125, 35.125, 36.4375, 33.0625
29.8125, 35.125, 36.4375, 33.125
29.8125, 35.125, 36.4375, 33.125
29.8125, 35.1875, 36.4375, 33.125
29.8125, 35.1875, 36.4375, 33.125
29.8125, 35.125, 36.4375, 33.125
29.8125, 35.125, 36.4375, 33.125
29.8125, 35.125, 36.5, 33.125
29.8125, 35.125, 36.5, 33.125
29.8125, 35.125, 36.4375, 33.125
29.8125, 35.125, 36.4375, 33.1875
29.8125, 35.125, 36.4375, 33.125
29.8125, 35.125, 36.4375, 33.125
29.8125, 35.125, 36.4375, 33.125
29.8125, 35.1875, 36.5, 33.125
29.8125, 35.1875, 36.5, 33.1875
29.75, 35.1875, 36.5, 33.125
29.8125, 35.1875, 36.4375, 33.125
29.75, 35.125, 36.5, 33.125
29.8125, 35.125, 36.4375, 33.125
29.75, 35.125, 36.4375, 33.125
29.75, 35.1875, 36.4375, 33.1875
29.75, 35.125, 36.4375, 33.125
29.75, 35.125, 36.4375, 33.125
29.75, 35.125, 36.5, 33.125
29.75, 35.125, 36.4375, 33.125
29.75, 35.125, 36.4375, 33.0625
29.75, 35.125, 36.4375, 33.0625
29.75, 35.125, 36.5, 33.125
29.75, 35.125, 36.4375, 33.125
29.8125, 35.125, 36.4375, 33.125
29.75, 35.125, 36.4375, 33.125
29.75, 35.125, 36.5, 33.0625
29.8125, 35.125, 36.5, 33.125
29.75, 35.125, 36.4375, 33.0625
29.8125, 35.125, 36.4375, 33.125
29.75, 35.125, 36.4375, 33.125
29.75, 35.1875, 36.5, 33.125
29.8125, 35.125, 36.4375, 33.125
29.8125, 35.1875, 36.4375, 33.125
29.8125, 35.1875, 36.5, 33.125
29.8125, 35.1875, 36.5, 33.125
29.8125, 35.125, 36.5, 33.125
29.8125, 35.1875, 36.5, 33.1875
29.8125, 35.125, 36.5, 33.125
29.8125, 35.125, 36.5, 33.125
29.75, 35.125, 36.5, 33.125
29.8125, 35.125, 36.5, 33.125
29.75, 35.125, 36.5, 33.125
29.75, 35.125, 36.4375, 33.125
29.75, 35.125, 36.5, 33.125
29.75, 35.125, 36.5, 33.125
29.75, 35.125, 36.5, 33.125
29.75, 35.125, 36.5, 33.125
29.75, 35.125, 36.5, 33.0625
29.75, 35.125, 36.4375, 33.125
29.75, 35.125, 36.5, 33.125
29.75, 35.125, 36.4375, 33.125
29.75, 35.125, 36.5, 33.125
29.8125, 35.125, 36.4375, 33.125
29.8125, 35.125, 36.4375, 33.125
29.8125, 35.125, 36.5, 33.125
29.8125, 35.1875, 36.4375, 33.125
29.8125, 35.125, 36.4375, 33.125
29.8125, 35.1875, 36.5, 33.125
29.8125, 35.1875, 36.4375, 33.125
29.8125, 35.1875, 36.4375, 33.125
29.8125, 35.1875, 36.4375, 33.1875
29.875, 35.1875, 36.5, 33.125
29.8125, 35.1875, 36.5, 33.1875
29.8125, 35.1875, 36.4375, 33.1875
29.875, 35.1875, 36.5, 33.125
29.875, 35.1875, 36.5, 33.1875
29.8125, 35.1875, 36.5, 33.1875
29.8125, 35.1875, 36.5, 33.1875
29.875, 35.1875, 36.5625, 33.1875
29.875, 35.1875, 36.5, 33.1875
29.875, 35.25, 36.5, 33.1875
29.875, 35.1875, 36.5, 33.25
29.875, 35.1875, 36.5, 33.1875
29.875, 35.25, 36.5625, 33.25
29.875, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.1875
29.9375, 35.1875, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.25
29.875, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.25
29.875, 35.1875, 36.5, 33.25
29.875, 35.25, 36.5, 33.25
29.875, 35.25, 36.5, 33.25
29.9375, 35.1875, 36.5625, 33.25
29.9375, 35.25, 36.5625, 33.1875
29.9375, 35.1875, 36.5, 33.25
29.875, 35.1875, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.25
29.875, 35.25, 36.5, 33.1875
29.875, 35.1875, 36.5625, 33.1875
29.9375, 35.1875, 36.5625, 33.25
29.875, 35.25, 36.5625, 33.25
